month,AM,num,den,coef1
2023-01,Отдел,42924157.72,58760761.36,0.730490
2023-02,Отдел,46660799.02,48726956.52,0.957597
2023-03,Отдел,48507742.02,53092533.12,0.913645
2023-04,Отдел,47182121.36,54393424.62,0.867423
2023-05,Отдел,43635836.30,51819635.42,0.842071
2023-06,Отдел,47207529.12,50747100.70,0.930251
2023-07,Отдел,45734397.58,51470655.24,0.888553
2023-08,Отдел,44661210.92,49387883.98,0.904295
2023-09,Отдел,42907730.12,50713062.92,0.846088
2023-10,Отдел,45135989.70,46965117.12,0.961053
2023-11,Отдел,41276767.70,49492236.06,0.834005
2023-12,Отдел,41473538.98,43212081.70,0.959767
